x,y
60.92654424,41.63443137
63.53088481,40.00570056
65.15859766,99.96335356
68.73956594,97.72384869
71.34390651,96.09511788
73.62270451,155.6455882
77.52921536,153.202492
78.83138564,152.3881266
81.11018364,150.9629871
83.71452421,149.3342563
86.31886477,147.7055255
88.2721202,207.4595871
90.22537563,84.2868195
93.48080134,204.2021255
95.75959933,202.776986
98.3639399,323.0994747
99.66611018,322.2851093
101.9449082,442.8111894
104.8747913,501.954477
108.4557596,438.7393624
109.4323873,621.0554176
110.7345576,742.1922717
112.687813,1045.848772
114.6410684,1349.505273
116.5943239,1592.186164
118.2220367,1957.021866
118.8731219,2200.517122
120.1752922,2504.580805
121.4774624,2625.71766
122.7796327,3173.683782
123.7562604,3355.999837
124.4073456,3660.470703
125.3839733,4147.664807
126.360601,4451.932082
128.3138564,4877.539802
129.2904841,5486.685126
130.2671119,5729.976791
130.2671119,5912.90362
132.2203673,6399.48695
133.5225376,8227.940877
134.4991653,9020.01303
135.475793,9629.158353
136.7779633,10603.95374
137.754591,11578.95273
138.7312187,12675.90293
140.033389,13162.89344
141.0100167,14137.89242
141.9866444,14686.06214
142.9632721,15112.28063
144.2654424,15538.29553
144.2654424,15660.24675
144.9165275,15903.74201
145.5676127,16696.01775
146.869783,17487.88631
147.5208681,18036.25962
148.8230384,18401.29891
150.1252087,19376.0943
150.7762938,19741.54078
153.0550918,20166.94491
154.0317195,20593.1634
155.0083472,20775.47946
155.6594324,20957.9991
157.9382304,21505.35445
158.9148581,21870.59734
161.5191987,22478.7247
163.4724541,22599.45438
164.7746244,23147.4205
166.7278798,23451.077
168.0300501,23511.23824
169.3322204,23937.25315
171.2854758,23936.0316
173.8898164,24361.23213
176.4941569,24542.53023
178.7729549,24541.10509
182.6794658,24660.61322
190.4924875,24899.62946
184.9582638,24903.09052
187.2370618,24901.66538
192.4457429,25264.26157
192.7712855,25142.10676
197.0033389,25139.46008
199.6076795,25137.83134
200.9098497,25137.01698
202.5375626,25135.99902
204.490818,25317.7043
194.7245409,25140.88522
183.0050083,24721.38524
160.542571,22296.40865
